rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1425999323070020000,,66,,0,0,'',,,1.537658453,-0.3344705999,-0.6009560227,,0,0,0,1
1425999323147360000,,67,,0,0,'',,,1.5989102125,-0.2704117298,-0.4460123777,,0,0,0,1
1425999323224000000,,68,,0,0,'',,,1.5701570511,-0.2090311646,-0.3556222618,,0,0,0,1
1425999323302330000,,69,,0,0,'',,,1.6613072157,-0.1773422807,-0.1244916469,,0,0,0,1
1425999323377430000,,70,,0,0,'',,,2.0898756981,-0.2758700252,0.4665416777,,0,0,0,1
1425999323446450000,,71,,0,0,'',,,2.166061163,-0.2577837408,0.5907838345,,0,0,0,1
1425999323521830000,,72,,0,0,'',,,2.2272381783,-0.2363686115,0.6691455245,,0,0,0,1
1425999323605060000,,73,,0,0,'',,,2.2659096718,-0.2145057023,0.7177589536,,0,0,0,1
1425999323678830000,,74,,0,0,'',,,2.29428792,-0.1862357557,0.7072728872,,0,0,0,1
1425999323751640000,,75,,0,0,'',,,2.2938807011,-0.1695327312,0.6606144309,,0,0,0,1
1425999323827870000,,76,,0,0,'',,,2.2798395157,-0.1561545879,0.5817530751,,0,0,0,1
1425999323900650000,,77,,0,0,'',,,2.2590091229,-0.1394273192,0.4641312957,,0,0,0,1
1425999323975560000,,78,,0,0,'',,,2.199447155,-0.0983304307,0.2120865732,,0,0,0,1
1425999324047280000,,79,,0,0,'',,,2.1279888153,-0.1000900716,-0.0041955765,,0,0,0,1
1425999324123760000,,80,,0,0,'',,,2.0438578129,-0.1174961701,-0.2500794828,,0,0,0,1
1425999324200740000,,81,,0,0,'',,,1.9356395006,-0.1237313375,-0.5279470086,,0,0,0,1
1425999325923760000,,82,,0,0,'',,,1.1958838701,0.5042281747,-0.4877141416,,0,0,0,1
1425999326003660000,,83,,0,0,'',,,1.2276209593,0.4671515226,-0.4977140129,,0,0,0,1
1425999326075900000,,84,,0,0,'',,,1.2915594578,0.4522831142,-0.5256228447,,0,0,0,1
1425999326145430000,,85,,0,0,'',,,1.3034498692,0.4558566809,-0.5289395452,,0,0,0,1
1425999326216870000,,86,,0,0,'',,,1.2974663973,0.4648173451,-0.5268287063,,0,0,0,1
1425999326293160000,,87,,0,0,'',,,1.2797925472,0.4840303957,-0.5194519162,,0,0,0,1
1425999326373330000,,88,,0,0,'',,,1.2539310455,0.5089354515,-0.5092281103,,0,0,0,1
1425999326444210000,,89,,0,0,'',,,1.2397649288,0.5305045843,-0.5060861707,,0,0,0,1
1425999326514970000,,90,,0,0,'',,,1.2259073257,0.54860425,-0.5027500987,,0,0,0,1
1425999326586480000,,91,,0,0,'',,,1.2050408125,0.5774210691,-0.4982945621,,0,0,0,1
